obs_id,pred_proba
911395,0.0888359
911396,0.1443403
911397,0.15585002
911398,0.1591757
911403,0.083257906
911404,0.16054781
911405,0.16142708
911406,0.16263331
911407,0.10057848
911408,0.16518392
911409,0.17111044
911410,0.16069579
911411,0.1738446
911412,0.06460931
911413,0.15699725
911414,0.2164261
911415,0.16166325
911416,0.14030585
911417,0.1402446
911419,0.07209148
911420,0.1446524
911421,0.16195309
911422,0.15676959
911423,0.15476571
911424,0.15985858
911425,0.06296497
911426,0.21276905
911427,0.15123269
911430,0.041348554
911431,0.06222124
911432,0.0891314
911433,0.08106538
911434,0.03941867
911435,0.07752233
911436,0.066409424
911437,0.08259548
911438,0.07561086
911439,0.10939542
911440,0.076365545
911441,0.07791165
911442,0.031133506
911443,0.09460475
911444,0.081953056
911445,0.079105094
911446,0.12706153
911447,0.08083272
911452,0.02782977
911453,0.1049246
911454,0.07936911
911455,0.11514902
911456,0.07526854
911457,0.08609529
911476,0.035951924
911477,0.08584129
911478,0.07760555
911479,0.12269055
911480,0.07721288
911494,0.02463868
911495,0.13053933
911496,0.07892654
911497,0.11612318
911498,0.08328643
911499,0.08502768
911502,0.03901001
911503,0.08190064
911504,0.11017761
911505,0.08609529
911506,0.082673706
911512,0.03661908
911513,0.12495972
911514,0.0801235
911515,0.08537335
911516,0.11824398
911517,0.0824331
911525,0.042637594
911526,0.12203228
911527,0.121622816
911538,0.05264926
911539,0.17079331
911540,0.16526611
911541,0.15841468
911542,0.16305646
911543,0.16921203
911544,0.1554457
911555,0.061632622
911690,0.034663584
911691,0.0609772
911692,0.053723387
911693,0.03401074
911791,0.06545541
911792,0.09368719
911793,0.10650357
911794,0.11022102
911803,0.0571801
911804,0.10673475
911805,0.09233644
911806,0.11260793
911807,0.099704504
911808,0.1025497
912344,0.08853271
912345,0.15061298
912346,0.14849477
912347,0.16247505
912348,0.1522903
912352,0.069545895
912353,0.16859443
912354,0.15071577
912355,0.15672947
912356,0.20153335
912357,0.17352182
912358,0.1990984
912359,0.17183876
912362,0.096837014
912363,0.19226092
912364,0.17092945
912365,0.17161745
912366,0.14798243
912367,0.20759676
912368,0.21258281
912369,0.18072878
912370,0.2159105
912375,0.09131116
912376,0.20309225
912377,0.21442749
912378,0.21595767
912379,0.21200769
912380,0.23474556
912384,0.09080835
912465,0.005720016
912466,0.05510264
912467,0.0637871
912468,0.069450475
912471,0.035670634
912472,0.071782894
912473,0.06509485
912474,0.073446766
912477,0.044583753
912478,0.07495034
912479,0.10304999
912480,0.07557383
912481,0.03407434
912482,0.09221522
912483,0.09199434
912484,0.09265452
912485,0.109522186
912486,0.07517332
912487,0.07574834
912488,0.11306499
912489,0.027191674
912490,0.09503864
912491,0.093184434
912492,0.08723867
912493,0.08627191
912494,0.032184016
912566,0.07819745
912567,0.11981607
912568,0.12122692
912569,0.16237457
912570,0.1316362
912571,0.13326463
912572,0.13484332
912573,0.13426965
912582,0.061272077
912583,0.13669653
912584,0.13759199
912752,0.115541615
912756,0.08464302
912757,0.14922838
912758,0.15173237
912759,0.16552489
912760,0.15504302
912761,0.13957575
912762,0.07756241
912763,0.15260397
912764,0.15749624
912765,0.19391619
912766,0.16802867
912767,0.19038208
912768,0.17266431
912769,0.14871396
912770,0.06334315
912771,0.20829155
912772,0.16564246
912773,0.205888
912774,0.1732019
912775,0.19859897
912776,0.17772156
912778,0.08419244
912817,0.097953565
912818,0.12222211
912819,0.16377686
912820,0.12646836
912821,0.13392374
912822,0.1440414
912830,0.06487351
912831,0.124938264
912924,0.007961339
913151,0.09665457
913153,0.08143875
913154,0.1451867
913155,0.1548719
913156,0.15549143
913157,0.1417342
913162,0.1234503
913163,0.1581153
913164,0.16122425
913165,0.16083926
913166,0.22307517
913167,0.22301377
913168,0.16162655
913169,0.16108505
913170,0.22301377
913311,0.081280135
913312,0.13418156
913313,0.13487779
913314,0.19628595
913315,0.108412705
913316,0.2039534
913317,0.20258228
913318,0.19706154
913319,0.20548734
913320,0.190236
913321,0.20528953
913322,0.22108993
913323,0.20466645
913324,0.20058851
913325,0.070710376
913326,0.18288301
913327,0.18207851
913328,0.18288301
913329,0.18284369
913330,0.18172829
913331,0.22695573
913332,0.2275246
913333,0.2205397
913334,0.18064317
913397,0.10538529
913398,0.13972914
913399,0.14905725
913400,0.16285513
913401,0.15365271
913402,0.15374053
913408,0.06968676
913409,0.16940185
913410,0.15260397
913411,0.15709865
913412,0.18200307
913413,0.16725647
913414,0.17863797
913422,0.06421628
913423,0.16551204
913424,0.20022784
913425,0.19179203
913426,0.16729881
913427,0.14391339
913428,0.16597566
913429,0.19730374
913520,0.10708749
913521,0.13502519
913532,0.08701608
913533,0.16578539
913534,0.22827418
913535,0.22366054
913536,0.27101675
913537,0.2600735
913538,0.2629567
913539,0.15305772
913540,0.15404126
913541,0.15399507
913542,0.1532094
913543,0.27770853
913544,0.25655574
913553,0.07023318
913554,0.17424032
913555,0.17424032
913556,0.19272129
913564,0.07382451
913565,0.10476349
913822,0.008469319
913823,0.096950725
913824,0.1307898
913825,0.13950638
913826,0.15333132
913827,0.14089614
913828,0.07633276
913829,0.15629931
913830,0.145
913831,0.15824565
913832,0.1345457
913833,0.15450794
913834,0.12652299
913835,0.13945882
913843,0.05061194
913863,0.007832369
914051,0.05490619
914052,0.104892306
914053,0.1049273
914054,0.11390171
914055,0.10852065
914056,0.10963439
914057,0.11536157
914063,0.046071872
914064,0.110070646
914065,0.11739548
914066,0.115033485
914067,0.11883594
914068,0.117130265
914069,0.006294998
914242,0.004933791
914315,0.015761303
914316,0.025272597
914359,0.0060788416
914530,0.08681336
914531,0.18611233
914534,0.12538046
914535,0.22808036
914536,0.24169314
914537,0.2418234
914538,0.264785
914539,0.26544464
914540,0.23788145
914541,0.27251709
914542,0.24539068
914543,0.23605284
914544,0.2611308
914551,0.09817583
914552,0.2470398
914860,0.09572972
914861,0.15341592
914862,0.16519454
914863,0.15608327
914864,0.15817955
914865,0.17223902
914866,0.16152157
914885,0.07995064
914886,0.17717782
914887,0.17248295
914888,0.17936258
914889,0.16425152
914890,0.15959096
914891,0.17839073
914892,0.1475527
914915,0.08939607
914916,0.17224093
914917,0.17107546
914918,0.20851387
914919,0.17159319
914920,0.20466363
914921,0.17264009
914922,0.14869249
914923,0.1986089
914937,0.08407139
914938,0.2236412
914939,0.20067732
914940,0.2236412
914941,0.2078405
914942,0.2236412
914943,0.23669256
914944,0.1985305
914945,0.22874197
914946,0.21779324
914947,0.21277182
914948,0.1887151
914959,0.09030318
914988,0.026557878
915002,0.027064826
915003,0.049341984
915068,0.056643177
915069,0.06272057
915076,0.025550613
915080,0.025333948
915129,0.1589385
915151,0.14383246
915171,0.12704122
915172,0.26601362
915173,0.17966941
915174,0.2251865
915175,0.23862778
915176,0.2589592
915177,0.18636027
915178,0.24386027
915179,0.25223356
915180,0.26236603
915181,0.26202437
915182,0.23245002
915183,0.27942365
915198,0.0750037
915199,0.26814792
915200,0.2018531
915201,0.18438959
915202,0.24412626
915216,0.0682972
915217,0.18442559
915230,0.06766396
915231,0.1847509
915232,0.1722924
915233,0.15453534
915234,0.18477213
915235,0.16543525
915236,0.17109887
915237,0.18571728
915248,0.08062756
915249,0.20758942
915250,0.18500209
915251,0.21022086
915252,0.1841305
915253,0.18187791
915254,0.17844099
915255,0.1598795
915272,0.096552305
915273,0.22526033
915274,0.21897852
915275,0.20457952
915276,0.17957804
915277,0.18321817
915278,0.18419845
915279,0.23216435
915286,0.088260315
915706,0.023916565
915716,0.022346538
915717,0.043375634
915718,0.04400531
915772,0.09838283
915773,0.15283251
915774,0.1633247
915789,0.09245972
915790,0.17663121
915817,0.08674319
915834,0.15590301
915848,0.14377496
915849,0.18209028
915850,0.2659946
915851,0.2583264
915852,0.26574087
915853,0.25755894
915854,0.25755894
915855,0.26574087
915856,0.26251778
915857,0.2711391
915858,0.2711391
915859,0.272154
915860,0.2604427
915861,0.26123384
915862,0.2569088
915863,0.25827402
915864,0.26647052
915865,0.32485896
915866,0.31265792
915867,0.29275405
915868,0.27187806
915873,0.11141991
915874,0.26489604
915875,0.27293488
915876,0.24644688
915885,0.114322
915886,0.25766522
915897,0.10993487
916054,0.045653082
916068,0.034912683
916069,0.06691312
916070,0.063168384
916071,0.07025954
916081,0.03701657
