obs_id,pred_proba
911345,0.58306277
911346,0.06676801
911347,0.06676801
911348,0.06676801
911349,0.06676801
911350,0.06676801
911351,0.06676801
911352,0.06676801
911353,0.39618722
911354,0.39618722
911355,0.15743224
911356,0.15743224
911357,0.15743224
911358,0.15743224
911359,0.15743224
911360,0.15743224
911361,0.15743224
911362,0.15743224
911363,0.15743224
911364,0.15743224
911365,0.15743224
911366,0.23304988
911367,0.23304988
911368,0.23304988
911369,0.23304988
911370,0.23304988
911371,0.23304988
911372,0.23304988
911373,0.23304988
911374,0.23304988
911375,0.23304988
911376,0.23304988
911377,0.23304988
911378,0.23304988
911379,0.23304988
911380,0.23304988
911381,0.23304988
911382,0.23304988
911383,0.23304988
911384,0.23304988
911385,0.23304988
911386,0.23304988
911387,0.23304988
911388,0.23304988
911389,0.06676801
911390,0.58306277
911391,0.58306277
911392,0.58306277
911393,0.58306277
911394,0.58306277
911395,0.24035726
911396,0.24035726
911397,0.24035726
911398,0.24035726
911399,0.23304988
911400,0.58306277
911401,0.58306277
911402,0.58306277
911403,0.24035726
911404,0.24035726
911405,0.24035726
911406,0.24035726
911407,0.24035726
911408,0.24035726
911409,0.24035726
911410,0.24035726
911411,0.24035726
911412,0.24035726
911413,0.24035726
911414,0.24035726
911415,0.24035726
911416,0.24035726
911417,0.24035726
911418,0.58306277
911419,0.24035726
911420,0.24035726
911421,0.24035726
911422,0.24035726
911423,0.24035726
911424,0.24035726
911425,0.24035726
911426,0.24035726
911427,0.24035726
911428,0.23304988
911429,0.58306277
911430,0.24035726
911431,0.24035726
911432,0.24035726
911433,0.24035726
911434,0.24035726
911435,0.24035726
911436,0.24035726
911437,0.24035726
911438,0.24035726
911439,0.24035726
911440,0.24035726
911441,0.24035726
911442,0.24035726
911443,0.24035726
911444,0.24035726
911445,0.24035726
911446,0.24035726
911447,0.24035726
911448,0.23304988
911449,0.32253024
911450,0.08729346
911451,0.08729346
911452,0.24035726
911453,0.24035726
911454,0.24035726
911455,0.24035726
911456,0.24035726
911457,0.24035726
911458,0.32253024
911459,0.32253024
911460,0.32253024
911461,0.32253024
911462,0.32253024
911463,0.32253024
911464,0.32253024
911465,0.32253024
911466,0.32253024
911467,0.22507833
911468,0.22507833
911469,0.22507833
911470,0.22507833
911471,0.22507833
911472,0.08729346
911473,0.08729346
911474,0.08729346
911475,0.08729346
911476,0.24035726
